well,zone,knee_cutoff,knee_jump,kh_mD_m_at_min_cutoff,kh_mD_m_at_max_cutoff,kh_mD_m_range
1,A,0.400000,5130.070040,7443.710680,29368.914920,21925.204240
1,B,0.350000,135000.000000,1737000.000000,1965000.000000,228000.000000
1,C,0.350000,13397.846900,50302.610860,81535.170800,31232.559940
1,D,0.500000,2.574320,0.000000,7.239880,7.239880
1,E,0.350000,32201.566420,129067.527480,214599.885540,85532.358060
2,A,0.450000,8793.246440,16405.342680,53460.529580,37055.186900
2,B,0.350000,171000.000000,1107000.000000,1355876.385400,248876.385400
2,C,0.350000,17532.246720,101963.322480,149381.518980,47418.196500
2,D,0.600000,5.321060,2.004680,24.787880,22.783200
2,E,0.350000,24625.933420,135594.639180,236978.506340,101383.867160
3,A,0.450000,4397.455440,9910.178160,26951.537660,17041.359500
3,B,0.350000,105000.000000,972000.000000,1155000.000000,183000.000000
3,C,0.350000,10873.226000,51071.721140,83419.639880,32347.918740
3,D,0.450000,0.768380,0.000000,1.772740,1.772740
3,E,0.350000,16374.610520,97837.933680,158945.277960,61107.344280
4,A,0.400000,10800.853160,22007.264960,65542.146440,43534.881480
4,B,0.350000,131675.511620,1140000.000000,1358675.511620,218675.511620
4,C,0.350000,15410.374480,71883.960240,116222.234040,44338.273800
4,D,0.550000,4.272080,1.016900,16.629520,15.612620
4,E,0.350000,16781.139200,96448.532500,163811.175760,67362.643260
5,A,0.450000,7896.447000,16525.106050,52175.749250,35650.643200
5,B,0.350000,90000.000000,990000.000000,1132500.000000,142500.000000
5,C,0.350000,19376.497550,56235.227300,102716.990550,46481.763250
5,D,0.550000,2.348150,0.000000,10.473250,10.473250
5,E,0.400000,15849.013700,118803.557350,175110.867450,56307.310100
6,A,0.350000,9976.848140,15989.609760,56590.913540,40601.303780
6,B,0.350000,114000.000000,1135888.754800,1339888.754800,204000.000000
6,C,0.350000,14649.503280,62768.061220,102351.779960,39583.718740
6,D,0.600000,4.680020,1.493580,24.254860,22.761280
6,E,0.350000,19330.109220,141474.994500,231510.553380,90035.558880
7,A,0.450000,6380.239460,11455.473840,39903.110120,28447.636280
7,B,0.350000,192000.000000,2033753.955280,2372753.955280,339000.000000
7,C,0.400000,9241.731920,49176.007680,71387.019880,22211.012200
7,D,0.500000,3.748480,1.699440,22.445380,20.745940
7,E,0.500000,12508.060460,76972.089620,131690.743840,54718.654220
