well,zone,knee_cutoff,knee_jump,ntg_at_min_cutoff,ntg_at_max_cutoff,ntg_range
1,A,0.500000,0.147453,0.144772,0.951743,0.806971
1,B,0.350000,0.063470,0.816643,0.923836,0.107193
1,C,0.400000,0.140969,0.350954,0.936858,0.585903
1,D,0.500000,0.063830,0.000000,0.292553,0.292553
1,E,0.350000,0.110157,0.323319,0.879828,0.556509
2,A,0.450000,0.142857,0.149580,0.937815,0.788235
2,B,0.350000,0.118257,0.765560,0.937759,0.172199
2,C,0.450000,0.123209,0.399236,0.956065,0.556829
2,D,0.650000,0.065693,0.009124,0.299270,0.290146
2,E,0.450000,0.123626,0.307692,0.909341,0.601648
3,A,0.450000,0.129139,0.165563,0.900662,0.735099
3,B,0.350000,0.082742,0.765957,0.910165,0.144208
3,C,0.400000,0.132331,0.363910,0.905263,0.541353
3,D,0.650000,0.118644,0.000000,0.237288,0.237288
3,E,0.450000,0.105788,0.321357,0.878244,0.556886
4,A,0.400000,0.137701,0.164439,0.950535,0.786096
4,B,0.350000,0.090909,0.785124,0.935950,0.150826
4,C,0.350000,0.143574,0.382530,0.941767,0.559237
4,D,0.550000,0.074157,0.011236,0.296629,0.285393
4,E,0.350000,0.102253,0.317158,0.875217,0.558059
5,A,0.450000,0.156250,0.125000,0.937500,0.812500
5,B,0.350000,0.074534,0.819876,0.937888,0.118012
5,C,0.350000,0.136508,0.390476,0.942857,0.552381
5,D,0.550000,0.065359,0.000000,0.228758,0.228758
5,E,0.500000,0.111111,0.352657,0.884058,0.531401
6,A,0.550000,0.124204,0.143312,0.941083,0.797771
6,B,0.350000,0.080000,0.797895,0.941053,0.143158
6,C,0.350000,0.154044,0.360719,0.946085,0.585366
6,D,0.550000,0.061100,0.012220,0.287169,0.274949
6,E,0.400000,0.118294,0.295736,0.883081,0.587345
7,A,0.450000,0.152893,0.154959,0.938017,0.783058
7,B,0.350000,0.075206,0.796710,0.929495,0.132785
7,C,0.400000,0.149225,0.414729,0.959302,0.544574
7,D,0.550000,0.066225,0.011038,0.320088,0.309051
7,E,0.400000,0.107623,0.304933,0.876682,0.571749
