well,sub_zone,thickness_m,n_samples,avg_phit,avg_perm_mD,avg_perm_kh_weighted_mD,kh_mD_m,n_perm_saturated,frac_saturated
1,1,71.600000,358,0.280137,14683.230046,14683.230046,1051319.271320,342,0.955307
1,2,70.200000,351,0.286763,14831.284015,14831.284015,1041156.137820,342,0.974359
2,1,66.400000,332,0.280858,14842.267002,14842.267002,985526.528900,322,0.969880
2,2,30.000000,150,0.283859,14746.196788,14746.196788,442385.903640,144,0.960000
3,1,52.000000,260,0.282718,14865.818125,14865.818125,773022.542520,254,0.976923
3,2,29.800000,149,0.281748,14596.554946,14596.554946,434977.337400,142,0.953020
4,1,64.600000,323,0.275573,14697.706035,14697.706035,949471.809860,310,0.959752
4,2,32.200000,161,0.287488,14818.421514,14818.421514,477153.172740,158,0.981366
5,1,35.500000,71,0.281352,14708.290335,14708.290335,522144.306900,68,0.957746
5,2,45.000000,90,0.288230,14652.178496,14652.178496,659348.032300,86,0.955556
6,1,67.000000,335,0.281016,14736.865351,14736.865351,987369.978520,321,0.958209
6,2,28.000000,140,0.281459,14646.753709,14646.753709,410109.103860,133,0.950000
7,1,99.200000,496,0.279076,14798.679900,14798.679900,1468029.046080,482,0.971774
7,2,71.000000,355,0.283848,14706.149202,14706.149202,1044136.593320,339,0.954930
